"","station","date","night.max"
"1","NABLAU",2000-01-01,3.3
"2","NABLAU",2000-01-02,3.5
"3","NABLAU",2000-01-03,2.8
"4","NABLAU",2000-01-04,5.7
"5","NABLAU",2000-01-05,NA
"6","NABLAU",2000-01-06,4.5
"7","NABLAU",2000-01-07,3.7
"8","NABLAU",2000-01-08,3.8
"9","NABLAU",2000-01-09,5.1
"10","NABLAU",2000-01-10,4.4
"11","NABLAU",2000-01-11,3.5
"12","NABLAU",2000-01-12,2.5
"13","NABLAU",2000-01-13,2.1
"14","NABLAU",2000-01-14,2.3
"15","NABLAU",2000-01-15,0
"16","NABLAU",2000-01-16,-0.4
"17","NABLAU",2000-01-17,2.4
"18","NABLAU",2000-01-18,4.9
"19","NABLAU",2000-01-19,1.2
"20","NABLAU",2000-01-20,1.3
"21","NABLAU",2000-01-21,3.2
"22","NABLAU",2000-01-22,1.5
"23","NABLAU",2000-01-23,1.6
"24","NABLAU",2000-01-24,-5.1
"25","NABLAU",2000-01-25,-4.7
"26","NABLAU",2000-01-26,-2.7
"27","NABLAU",2000-01-27,-1.9
"28","NABLAU",2000-01-28,1.9
"29","NABLAU",2000-01-29,7.3
"30","NABLAU",2000-01-30,7.8
"31","NABLAU",2000-01-31,7.8
"32","NABLAU",2000-02-01,8.3
"33","NABLAU",2000-02-02,8.2
"34","NABLAU",2000-02-03,5.2
"35","NABLAU",2000-02-04,4.8
"36","NABLAU",2000-02-05,6.3
"37","NABLAU",2000-02-06,8.3
"38","NABLAU",2000-02-07,8.5
"39","NABLAU",2000-02-08,9.6
"40","NABLAU",2000-02-09,5.1
"41","NABLAU",2000-02-10,7.3
"42","NABLAU",2000-02-11,3.8
"43","NABLAU",2000-02-12,4.4
"44","NABLAU",2000-02-13,5.6
"45","NABLAU",2000-02-14,5.3
"46","NABLAU",2000-02-15,8.7
"47","NABLAU",2000-02-16,3.1
"48","NABLAU",2000-02-17,2
"49","NABLAU",2000-02-18,7.1
"50","NABLAU",2000-02-19,5.4
"51","NABLAU",2000-02-20,1.9
"52","NABLAU",2000-02-21,2.5
"53","NABLAU",2000-02-22,3.5
"54","NABLAU",2000-02-23,5
"55","NABLAU",2000-02-24,5.7
"56","NABLAU",2000-02-25,9.4
"57","NABLAU",2000-02-26,9.7
"58","NABLAU",2000-02-27,10.3
"59","NABLAU",2000-02-28,11.3
"60","NABLAU",2000-02-29,8.1
"61","NABLAU",2000-03-01,4.8
"62","NABLAU",2000-03-02,4.6
"63","NABLAU",2000-03-03,8
"64","NABLAU",2000-03-04,3.9
"65","NABLAU",2000-03-05,4.7
"66","NABLAU",2000-03-06,7.6
"67","NABLAU",2000-03-07,9.6
"68","NABLAU",2000-03-08,11.9
"69","NABLAU",2000-03-09,14.7
"70","NABLAU",2000-03-10,11.6
"71","NABLAU",2000-03-11,14.7
"72","NABLAU",2000-03-12,12.3
"73","NABLAU",2000-03-13,12.3
"74","NABLAU",2000-03-14,11.7
"75","NABLAU",2000-03-15,5.5
"76","NABLAU",2000-03-16,7.9
"77","NABLAU",2000-03-17,8.3
"78","NABLAU",2000-03-18,7.6
"79","NABLAU",2000-03-19,7.7
"80","NABLAU",2000-03-20,9.2
"81","NABLAU",2000-03-21,10.5
"82","NABLAU",2000-03-22,12.9
"83","NABLAU",2000-03-23,10.9
"84","NABLAU",2000-03-24,10
"85","NABLAU",2000-03-25,12
"86","NABLAU",2000-03-26,7.3
"87","NABLAU",2000-03-27,6.3
"88","NABLAU",2000-03-28,7.5
"89","NABLAU",2000-03-29,4.8
"90","NABLAU",2000-03-30,6.6
"91","NABLAU",2000-03-31,8.4
"92","NABLAU",2000-04-01,7.7
"93","NABLAU",2000-04-02,11.1
"94","NABLAU",2000-04-03,13.2
"95","NABLAU",2000-04-04,11.4
"96","NABLAU",2000-04-05,7.9
"97","NABLAU",2000-04-06,4.9
"98","NABLAU",2000-04-07,10.7
"99","NABLAU",2000-04-08,13.5
"100","NABLAU",2000-04-09,10.5
"101","NABLAU",2000-04-10,13.1
"102","NABLAU",2000-04-11,10
"103","NABLAU",2000-04-12,8.5
"104","NABLAU",2000-04-13,10
"105","NABLAU",2000-04-14,15.1
"106","NABLAU",2000-04-15,11.4
"107","NABLAU",2000-04-16,10.9
"108","NABLAU",2000-04-17,9.1
"109","NABLAU",2000-04-18,10.9
"110","NABLAU",2000-04-19,12.5
"111","NABLAU",2000-04-20,16.4
"112","NABLAU",2000-04-21,20.4
"113","NABLAU",2000-04-22,22
"114","NABLAU",2000-04-23,10.9
"115","NABLAU",2000-04-24,11.6
"116","NABLAU",2000-04-25,16.5
"117","NABLAU",2000-04-26,19.9
"118","NABLAU",2000-04-27,20.9
"119","NABLAU",2000-04-28,11.4
"120","NABLAU",2000-04-29,13.8
"121","NABLAU",2000-04-30,20.1
"122","NABLAU",2000-05-01,21.2
"123","NABLAU",2000-05-02,20.3
"124","NABLAU",2000-05-03,18.8
"125","NABLAU",2000-05-04,20.5
"126","NABLAU",2000-05-05,19.2
"127","NABLAU",2000-05-06,16.4
"128","NABLAU",2000-05-07,20.9
"129","NABLAU",2000-05-08,21.7
"130","NABLAU",2000-05-09,23.6
"131","NABLAU",2000-05-10,20.8
"132","NABLAU",2000-05-11,19.5
"133","NABLAU",2000-05-12,18.8
"134","NABLAU",2000-05-13,19.7
"135","NABLAU",2000-05-14,21.9
"136","NABLAU",2000-05-15,23.8
"137","NABLAU",2000-05-16,24.7
"138","NABLAU",2000-05-17,16.8
"139","NABLAU",2000-05-18,15.5
"140","NABLAU",2000-05-19,14.1
"141","NABLAU",2000-05-20,16.4
"142","NABLAU",2000-05-21,17.8
"143","NABLAU",2000-05-22,15.9
"144","NABLAU",2000-05-23,19.6
"145","NABLAU",2000-05-24,22.4
"146","NABLAU",2000-05-25,18
"147","NABLAU",2000-05-26,22.1
"148","NABLAU",2000-05-27,14.4
"149","NABLAU",2000-05-28,13.3
"150","NABLAU",2000-05-29,14.8
"151","NABLAU",2000-05-30,16.6
"152","NABLAU",2000-05-31,16.7
"153","NABLAU",2000-06-01,22.3
"154","NABLAU",2000-06-02,25.1
"155","NABLAU",2000-06-03,26
"156","NABLAU",2000-06-04,25.6
"157","NABLAU",2000-06-05,19.4
"158","NABLAU",2000-06-06,14.9
"159","NABLAU",2000-06-07,18.9
"160","NABLAU",2000-06-08,22.9
"161","NABLAU",2000-06-09,25.1
"162","NABLAU",2000-06-10,22.9
"163","NABLAU",2000-06-11,17.2
"164","NABLAU",2000-06-12,20.4
"165","NABLAU",2000-06-13,22
"166","NABLAU",2000-06-14,23.3
"167","NABLAU",2000-06-15,24.5
"168","NABLAU",2000-06-16,22.2
"169","NABLAU",2000-06-17,22.4
"170","NABLAU",2000-06-18,26.8
"171","NABLAU",2000-06-19,28.2
"172","NABLAU",2000-06-20,28.4
"173","NABLAU",2000-06-21,27.4
"174","NABLAU",2000-06-22,23.3
"175","NABLAU",2000-06-23,19.6
"176","NABLAU",2000-06-24,15.4
"177","NABLAU",2000-06-25,17.5
"178","NABLAU",2000-06-26,19.7
"179","NABLAU",2000-06-27,22.5
"180","NABLAU",2000-06-28,19.2
"181","NABLAU",2000-06-29,21.6
"182","NABLAU",2000-06-30,23.4
"183","NABLAU",2000-07-01,26.4
"184","NABLAU",2000-07-02,30
"185","NABLAU",2000-07-03,18.6
"186","NABLAU",2000-07-04,22.3
"187","NABLAU",2000-07-05,22.9
"188","NABLAU",2000-07-06,26.5
"189","NABLAU",2000-07-07,22.6
"190","NABLAU",2000-07-08,16.6
"191","NABLAU",2000-07-09,16.4
"192","NABLAU",2000-07-10,13.5
"193","NABLAU",2000-07-11,12.6
"194","NABLAU",2000-07-12,13.5
"195","NABLAU",2000-07-13,13.7
"196","NABLAU",2000-07-14,13.9
"197","NABLAU",2000-07-15,11.4
"198","NABLAU",2000-07-16,15.2
"199","NABLAU",2000-07-17,19.1
"200","NABLAU",2000-07-18,20.9
"201","NABLAU",2000-07-19,21.3
"202","NABLAU",2000-07-20,21.5
"203","NABLAU",2000-07-21,24.3
"204","NABLAU",2000-07-22,25
"205","NABLAU",2000-07-23,22.4
"206","NABLAU",2000-07-24,18.1
"207","NABLAU",2000-07-25,19.4
"208","NABLAU",2000-07-26,22.6
"209","NABLAU",2000-07-27,21.9
"210","NABLAU",2000-07-28,16.9
"211","NABLAU",2000-07-29,18.4
"212","NABLAU",2000-07-30,21.3
"213","NABLAU",2000-07-31,23.6
"214","NABLAU",2000-08-01,27.3
"215","NABLAU",2000-08-02,20.1
"216","NABLAU",2000-08-03,17
"217","NABLAU",2000-08-04,18.5
"218","NABLAU",2000-08-05,16
"219","NABLAU",2000-08-06,18.4
"220","NABLAU",2000-08-07,21.8
"221","NABLAU",2000-08-08,22.7
"222","NABLAU",2000-08-09,24.5
"223","NABLAU",2000-08-10,26.6
"224","NABLAU",2000-08-11,26.9
"225","NABLAU",2000-08-12,27.5
"226","NABLAU",2000-08-13,25.4
"227","NABLAU",2000-08-14,26.2
"228","NABLAU",2000-08-15,25.8
"229","NABLAU",2000-08-16,27.1
"230","NABLAU",2000-08-17,26.8
"231","NABLAU",2000-08-18,25.2
"232","NABLAU",2000-08-19,28.1
"233","NABLAU",2000-08-20,29
"234","NABLAU",2000-08-21,15.8
"235","NABLAU",2000-08-22,21.5
"236","NABLAU",2000-08-23,24.9
"237","NABLAU",2000-08-24,25.6
"238","NABLAU",2000-08-25,27.2
"239","NABLAU",2000-08-26,26.4
"240","NABLAU",2000-08-27,17.7
"241","NABLAU",2000-08-28,20.1
"242","NABLAU",2000-08-29,21.2
"243","NABLAU",2000-08-30,15.8
"244","NABLAU",2000-08-31,15.6
"245","NABLAU",2000-09-01,21.2
"246","NABLAU",2000-09-02,16.5
"247","NABLAU",2000-09-03,14.9
