"","station","date","night.min"
"1","NABLAU",2000-01-01,0.7
"2","NABLAU",2000-01-02,1.5
"3","NABLAU",2000-01-03,2.7
"4","NABLAU",2000-01-04,0.7
"5","NABLAU",2000-01-05,4.9
"6","NABLAU",2000-01-06,NA
"7","NABLAU",2000-01-07,2
"8","NABLAU",2000-01-08,2.7
"9","NABLAU",2000-01-09,3.3
"10","NABLAU",2000-01-10,4.4
"11","NABLAU",2000-01-11,3.3
"12","NABLAU",2000-01-12,2.2
"13","NABLAU",2000-01-13,1
"14","NABLAU",2000-01-14,-0.9
"15","NABLAU",2000-01-15,-1.3
"16","NABLAU",2000-01-16,-2.2
"17","NABLAU",2000-01-17,-2.8
"18","NABLAU",2000-01-18,0.4
"19","NABLAU",2000-01-19,2.3
"20","NABLAU",2000-01-20,-0.7
"21","NABLAU",2000-01-21,-0.5
"22","NABLAU",2000-01-22,0.5
"23","NABLAU",2000-01-23,0.6
"24","NABLAU",2000-01-24,0.3
"25","NABLAU",2000-01-25,-5.8
"26","NABLAU",2000-01-26,-6
"27","NABLAU",2000-01-27,-3.9
"28","NABLAU",2000-01-28,-3.2
"29","NABLAU",2000-01-29,0.2
"30","NABLAU",2000-01-30,4.1
"31","NABLAU",2000-01-31,4.3
"32","NABLAU",2000-02-01,3
"33","NABLAU",2000-02-02,5.2
"34","NABLAU",2000-02-03,5
"35","NABLAU",2000-02-04,1.6
"36","NABLAU",2000-02-05,2.5
"37","NABLAU",2000-02-06,2.9
"38","NABLAU",2000-02-07,5.8
"39","NABLAU",2000-02-08,6.4
"40","NABLAU",2000-02-09,5.8
"41","NABLAU",2000-02-10,1.9
"42","NABLAU",2000-02-11,5.4
"43","NABLAU",2000-02-12,3.2
"44","NABLAU",2000-02-13,3.3
"45","NABLAU",2000-02-14,3
"46","NABLAU",2000-02-15,2.8
"47","NABLAU",2000-02-16,6.5
"48","NABLAU",2000-02-17,1.2
"49","NABLAU",2000-02-18,0.8
"50","NABLAU",2000-02-19,3.6
"51","NABLAU",2000-02-20,1.4
"52","NABLAU",2000-02-21,-0.7
"53","NABLAU",2000-02-22,-0.1
"54","NABLAU",2000-02-23,-0.3
"55","NABLAU",2000-02-24,0.4
"56","NABLAU",2000-02-25,2.6
"57","NABLAU",2000-02-26,5.2
"58","NABLAU",2000-02-27,3.6
"59","NABLAU",2000-02-28,5
