

stn;time;tre200dx
MVE;19811201;-0.2
MVE;19811202;-3.4
MVE;19811203;-6.0
MVE;19811204;3.5
MVE;19811205;-1.2
MVE;19811206;-1.5
MVE;19811207;1.0
MVE;19811208;3.5
MVE;19811209;0.0
MVE;19811210;1.7
MVE;19811211;01.1
MVE;19811212;0.9
MVE;19811213;-5.3
MVE;19811214;-0.5
MVE;19811215;1.3
MVE;19811216;2.7
MVE;19811217;-0.8
MVE;19811218;-1.3
MVE;19811219;-2.0
MVE;19811220;-3.8
MVE;19811221;-3.7
MVE;19811222;-1.4
MVE;19811223;-2.8
MVE;19811224;-1.9
MVE;19811225;-4.9
MVE;19811226;-6.7
MVE;19811227;-3.5
MVE;19811228;-0.8
MVE;19811229;0.0
MVE;19811230;1.0
MVE;19811231;03.5
MVE;19820101;01.6
MVE;19820102;0.7
MVE;19820103;9.0
MVE;19820104;5.4
MVE;19820105;3.1
MVE;19820106;1.3
MVE;19820107;-0.6
MVE;19820108;3.3
MVE;19820109;3.6
MVE;19820110;4.6
MVE;19820111;03.2
MVE;19820112;3.1
MVE;19820113;3.3
MVE;19820114;2.3
MVE;19820115;5.4
MVE;19820116;6.5
MVE;19820117;5.7
MVE;19820118;4.1
MVE;19820119;4.2
MVE;19820120;2.7
MVE;19820121;01.2
MVE;19820122;-0.2
MVE;19820123;-3.0
MVE;19820124;-3.1
MVE;19820125;-4.6
MVE;19820126;0.6
MVE;19820127;-1.8
MVE;19820128;-1.1
MVE;19820129;0.4
MVE;19820130;5.0
MVE;19820131;03.5
MVE;19820201;01.2
MVE;19820202;1.7
MVE;19820203;1.9
MVE;19820204;2.0
MVE;19820205;3.4
MVE;19820206;4.3
MVE;19820207;5.7
MVE;19820208;4.7
MVE;19820209;4.4
MVE;19820210;9.2
MVE;19820211;07.9
MVE;19820212;6.0
MVE;19820213;5.8
MVE;19820214;2.0
MVE;19820215;0.7
MVE;19820216;3.2
MVE;19820217;5.7
MVE;19820218;6.2
MVE;19820219;4.1
MVE;19820220;2.8
MVE;19820221;-0.1
MVE;19820222;-1.2
MVE;19820223;-4.9
MVE;19820224;-3.7
MVE;19820225;-3.9
MVE;19820226;-5.3
MVE;19820227;0.0
MVE;19820228;6.2
MVE;19820301;06.6
MVE;19820302;2.3
MVE;19820303;5.9
MVE;19820304;4.7
MVE;19820305;1.4
MVE;19820306;-1.4
MVE;19820307;1.8
MVE;19820308;2.9
MVE;19820309;2.7
MVE;19820310;1.0
MVE;19820311;00.3
MVE;19820312;1.8
MVE;19820313;-0.8
MVE;19820314;-1.1
MVE;19820315;3.7
MVE;19820316;2.7
MVE;19820317;-0.7
MVE;19820318;-0.6
MVE;19820319;0.0
MVE;19820320;-2.2
MVE;19820321;00.2
MVE;19820322;0.1
MVE;19820323;0.5
MVE;19820324;5.0
MVE;19820325;6.7
MVE;19820326;9.0
MVE;19820327;8.4
MVE;19820328;6.5
MVE;19820329;7.1
MVE;19820330;2.2
MVE;19820331;01.1
MVE;19820401;08.1
MVE;19820402;8.4
MVE;19820403;6.8
MVE;19820404;11.8
MVE;19820405;11.0
MVE;19820406;10.6
MVE;19820407;11.0
MVE;19820408;10.9
MVE;19820409;6.8
MVE;19820410;6.6
MVE;19820411;07.2
MVE;19820412;7.7
MVE;19820413;3.5
MVE;19820414;6.2
MVE;19820415;6.7
MVE;19820416;9.0
MVE;19820417;7.2
MVE;19820418;9.9
MVE;19820419;10.1
MVE;19820420;6.5
MVE;19820421;07.7
MVE;19820422;9.1
MVE;19820423;9.3
MVE;19820424;3.8
MVE;19820425;7.6
MVE;19820426;8.6
MVE;19820427;11.4
MVE;19820428;9.9
MVE;19820429;7.2
MVE;19820430;2.9
MVE;19820501;08.6
MVE;19820502;10.0
MVE;19820503;14.7
MVE;19820504;10.4
MVE;19820505;7.6
MVE;19820506;6.4
MVE;19820507;6.8
MVE;19820508;8.5
MVE;19820509;9.6
MVE;19820510;8.2
MVE;19820511;13.9
MVE;19820512;15.7
MVE;19820513;15.6
MVE;19820514;17.7
MVE;19820515;17.5
MVE;19820516;18.5
MVE;19820517;17.3
MVE;19820518;17.1
MVE;19820519;15.1
MVE;19820520;14.3
MVE;19820521;16.1
MVE;19820522;15.5
MVE;19820523;10.7
MVE;19820524;8.2
MVE;19820525;16.6
MVE;19820526;19.6
MVE;19820527;18.8
MVE;19820528;15.4
MVE;19820529;18.5
MVE;19820530;20.3
MVE;19820531;18.3
MVE;19820601;18.7
MVE;19820602;17.8
MVE;19820603;20.1
MVE;19820604;20.9
MVE;19820605;18.8
MVE;19820606;20.6
MVE;19820607;20.0
MVE;19820608;19.3
MVE;19820609;20.3
MVE;19820610;21.9
MVE;19820611;14.0
MVE;19820612;11.4
MVE;19820613;6.3
MVE;19820614;10.8
MVE;19820615;12.7
MVE;19820616;15.6
MVE;19820617;21.3
MVE;19820618;16.7
MVE;19820619;16.0
MVE;19820620;19.9
MVE;19820621;13.6
MVE;19820622;22.2
MVE;19820623;14.3
MVE;19820624;19.3
MVE;19820625;22.0
MVE;19820626;14.0
MVE;19820627;12.1
MVE;19820628;16.3
MVE;19820629;17.5
MVE;19820630;17.4
MVE;19820701;20.8
MVE;19820702;24.4
MVE;19820703;21.3
MVE;19820704;19.6
MVE;19820705;23.7
MVE;19820706;25.0
MVE;19820707;22.9
MVE;19820708;25.2
MVE;19820709;26.1
MVE;19820710;25.9
MVE;19820711;25.9
MVE;19820712;25.6
MVE;19820713;25.3
MVE;19820714;24.7
MVE;19820715;23.7
MVE;19820716;25.1
MVE;19820717;21.6
MVE;19820718;20.6
MVE;19820719;21.5
MVE;19820720;23.3
MVE;19820721;23.6
MVE;19820722;20.9
MVE;19820723;19.3
MVE;19820724;12.4
MVE;19820725;10.5
MVE;19820726;13.9
MVE;19820727;15.5
MVE;19820728;16.7
MVE;19820729;18.6
MVE;19820730;20.1
MVE;19820731;12.9
MVE;19820801;20.1
MVE;19820802;18.2
MVE;19820803;14.2
MVE;19820804;13.8
MVE;19820805;18.4
MVE;19820806;16.9
MVE;19820807;14.5
MVE;19820808;16.9
MVE;19820809;18.6
MVE;19820810;19.6
MVE;19820811;22.7
MVE;19820812;23.4
MVE;19820813;22.0
MVE;19820814;22.1
MVE;19820815;20.8
MVE;19820816;21.9
MVE;19820817;16.8
MVE;19820818;20.1
MVE;19820819;19.4
MVE;19820820;13.4
MVE;19820821;12.8
MVE;19820822;15.1
MVE;19820823;17.7
MVE;19820824;12.6
MVE;19820825;17.8
MVE;19820826;19.7
MVE;19820827;12.5
MVE;19820828;11.2
MVE;19820829;16.3
MVE;19820830;17.2
MVE;19820831;10.9
MVE;19820901;13.4
MVE;19820902;17.0
MVE;19820903;20.5
MVE;19820904;22.8
MVE;19820905;21.3
MVE;19820906;15.5
MVE;19820907;8.9
MVE;19820908;14.2
MVE;19820909;17.6
MVE;19820910;20.0
MVE;19820911;19.1
MVE;19820912;20.1
MVE;19820913;19.2
MVE;19820914;20.0
MVE;19820915;20.3
MVE;19820916;19.9
MVE;19820917;19.3
MVE;19820918;18.8
MVE;19820919;20.1
MVE;19820920;18.8
MVE;19820921;18.6
MVE;19820922;15.1
MVE;19820923;11.1
MVE;19820924;10.8
MVE;19820925;16.8
MVE;19820926;16.6
MVE;19820927;15.0
MVE;19820928;14.8
MVE;19820929;15.9
MVE;19820930;11.5
MVE;19821001;12.6
MVE;19821002;13.8
MVE;19821003;14.3
MVE;19821004;10.4
MVE;19821005;8.5
MVE;19821006;4.8
MVE;19821007;5.5
MVE;19821008;6.6
MVE;19821009;7.9
MVE;19821010;8.8
MVE;19821011;08.1
MVE;19821012;7.1
MVE;19821013;6.5
MVE;19821014;8.4
MVE;19821015;2.4
MVE;19821016;6.3
MVE;19821017;6.7
MVE;19821018;10.6
MVE;19821019;10.6
MVE;19821020;13.8
MVE;19821021;14.6
MVE;19821022;8.9
MVE;19821023;7.9
MVE;19821024;3.0
MVE;19821025;4.4
MVE;19821026;8.2
MVE;19821027;9.2
MVE;19821028;12.2
MVE;19821029;13.9
MVE;19821030;13.2
MVE;19821031;12.0
MVE;19821101;13.3
MVE;19821102;11.7
MVE;19821103;12.3
MVE;19821104;9.9
MVE;19821105;9.3
MVE;19821106;7.9
MVE;19821107;5.2
MVE;19821108;5.4
MVE;19821109;5.9
MVE;19821110;7.5
MVE;19821111;09.3
MVE;19821112;10.1
MVE;19821113;5.4
MVE;19821114;2.5
MVE;19821115;-0.9
MVE;19821116;-1.8
MVE;19821117;-0.7
MVE;19821118;4.6
MVE;19821119;4.8
MVE;19821120;2.5
MVE;19821121;06.8
MVE;19821122;6.5
MVE;19821123;6.6
MVE;19821124;4.5
MVE;19821125;6.2
MVE;19821126;5.8
MVE;19821127;4.3
MVE;19821128;1.0
MVE;19821129;1.1
MVE;19821130;4.8
MVE;19821201;06.4
MVE;19821202;6.6
MVE;19821203;6.0
