"Stationsname","Stationsnummer","Parameter","Zeitreihe","Parametereinheit","Gewässer","Zeitstempel","Zeitpunkt_des_Auftretens","Wert","Freigabestatus"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-01 00:00:00","2000-01-01 00:23:00",326.245,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-02 00:00:00","2000-01-02 00:43:10",326.153,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-03 00:00:00","2000-01-03 00:00:00",326.053,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-04 00:00:00","2000-01-04 01:43:40",325.871,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-05 00:00:00","2000-01-05 21:23:00",325.837,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-06 00:00:00","2000-01-06 03:33:05",325.835,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-07 00:00:00","2000-01-07 02:44:05",325.82,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-08 00:00:00","2000-01-08 01:23:30",325.802,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-09 00:00:00","2000-01-09 18:12:55",325.756,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-10 00:00:00","2000-01-10 15:33:05",325.68,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-11 00:00:00","2000-01-11 23:13:55",325.657,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-12 00:00:00","2000-01-12 14:54:10",325.651,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-01-13 00:00:00","2000-01-13 02:54:10",325.652,"Freigegeben, validierte Daten"
